ID: 1, Timestamp: 0.3533334, Drone Position: (-354.61, 45.00, -107.38), Speed: 1.866667, Camera Position: (-100.24, 0.00, -107.38), Camera Rotation: (0.00, 270.00, 0.00), Slider Value: 50, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.4647124, Drone Position: (-354.34, 45.00, -107.38), Speed: 2.423562, Camera Position: (-100.05, 1.68, -107.25), Camera Rotation: (8.79, 268.19, 358.85), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.5235673, Drone Position: (-354.18, 45.00, -107.38), Speed: 2.717836, Camera Position: (-100.05, 1.68, -107.25), Camera Rotation: (8.86, 268.20, 358.81), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.5491741, Drone Position: (-354.11, 45.00, -107.38), Speed: 2.84587, Camera Position: (-100.05, 1.68, -107.25), Camera Rotation: (8.92, 268.53, 358.41), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.5676801, Drone Position: (-354.05, 45.00, -107.38), Speed: 2.938401, Camera Position: (-100.05, 1.68, -107.25), Camera Rotation: (8.95, 268.40, 358.56), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.5960031, Drone Position: (-353.97, 45.00, -107.38), Speed: 3.080016, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.05, 269.15, 358.48), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.6154299, Drone Position: (-353.90, 45.00, -107.38), Speed: 3.17715, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.18, 269.09, 358.50), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.6298729, Drone Position: (-353.86, 45.00, -107.38), Speed: 3.249365, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.39, 269.49, 358.54), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.6431143, Drone Position: (-353.81, 45.00, -107.38), Speed: 3.315572, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.46, 269.57, 358.58), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.65451, Drone Position: (-353.78, 45.00, -107.38), Speed: 3.37255, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.38, 269.37, 358.56), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.6680748, Drone Position: (-353.73, 45.00, -107.38), Speed: 3.440374, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.50, 269.55, 358.59), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.6819996, Drone Position: (-353.68, 45.00, -107.38), Speed: 3.509998, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.53, 269.64, 358.64), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.6950963, Drone Position: (-353.63, 45.00, -107.38), Speed: 3.575481, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.53, 269.70, 358.70), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.7087805, Drone Position: (-353.58, 45.00, -107.38), Speed: 3.643902, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.44, 269.60, 358.71), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.721971, Drone Position: (-353.53, 45.00, -107.38), Speed: 3.709855, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.50, 269.76, 358.81), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.736087, Drone Position: (-353.48, 45.00, -107.38), Speed: 3.780435, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.51, 269.85, 358.89), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.749953, Drone Position: (-353.43, 45.00, -107.38), Speed: 3.849765, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.48, 269.93, 358.96), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.763571, Drone Position: (-353.37, 45.00, -107.38), Speed: 3.917855, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.41, 270.01, 359.02), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
ID: 1, Timestamp: 0.7768837, Drone Position: (-353.32, 45.00, -107.38), Speed: 3.984418, Camera Position: (-100.05, 1.68, -107.24), Camera Rotation: (9.35, 270.06, 359.09), Slider Value: 69, Phase: MoveToInitial, Scenario: 1
