ID: 1, Timestamp: 2000.222, Drone Position: (-355.24, 45.00, -107.38), Speed: 0.1358415, Camera Position: (-103.42, 1.72, -107.17), Camera Rotation: (3.47, 274.91, 355.80), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.236, Drone Position: (-355.23, 45.00, -107.38), Speed: 0.205997, Camera Position: (-103.42, 1.72, -107.18), Camera Rotation: (3.42, 274.72, 355.87), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.25, Drone Position: (-355.23, 45.00, -107.38), Speed: 0.27693, Camera Position: (-103.42, 1.72, -107.18), Camera Rotation: (3.35, 274.49, 355.89), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.265, Drone Position: (-355.22, 45.00, -107.38), Speed: 0.348364, Camera Position: (-103.42, 1.72, -107.18), Camera Rotation: (3.29, 274.23, 355.89), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.279, Drone Position: (-355.22, 45.00, -107.38), Speed: 0.4177405, Camera Position: (-103.42, 1.72, -107.18), Camera Rotation: (3.20, 273.91, 355.90), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.292, Drone Position: (-355.21, 45.00, -107.38), Speed: 0.4861145, Camera Position: (-103.42, 1.72, -107.18), Camera Rotation: (3.05, 273.46, 355.87), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.306, Drone Position: (-355.20, 45.00, -107.38), Speed: 0.5558675, Camera Position: (-103.42, 1.72, -107.18), Camera Rotation: (2.90, 272.92, 355.80), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.32, Drone Position: (-355.20, 45.00, -107.38), Speed: 0.6236435, Camera Position: (-103.42, 1.72, -107.18), Camera Rotation: (2.78, 272.29, 355.69), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.334, Drone Position: (-355.19, 45.00, -107.38), Speed: 0.693342, Camera Position: (-103.42, 1.72, -107.18), Camera Rotation: (2.70, 271.63, 355.54), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.348, Drone Position: (-355.18, 45.00, -107.38), Speed: 0.7623025, Camera Position: (-103.42, 1.72, -107.18), Camera Rotation: (2.64, 270.99, 355.40), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.362, Drone Position: (-355.16, 45.00, -107.38), Speed: 0.8342595, Camera Position: (-103.42, 1.72, -107.18), Camera Rotation: (2.56, 270.38, 355.28), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.375, Drone Position: (-355.15, 45.00, -107.38), Speed: 0.9016285, Camera Position: (-103.42, 1.72, -107.18), Camera Rotation: (2.49, 269.80, 355.19), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.39, Drone Position: (-355.14, 45.00, -107.38), Speed: 0.972517, Camera Position: (-103.42, 1.72, -107.19), Camera Rotation: (2.39, 269.27, 355.14), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.403, Drone Position: (-355.12, 45.00, -107.38), Speed: 1.040339, Camera Position: (-103.42, 1.72, -107.19), Camera Rotation: (2.28, 268.74, 355.10), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.417, Drone Position: (-355.11, 45.00, -107.38), Speed: 1.109723, Camera Position: (-103.42, 1.72, -107.19), Camera Rotation: (2.16, 268.23, 355.10), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
ID: 1, Timestamp: 2000.431, Drone Position: (-355.09, 45.00, -107.38), Speed: 1.180027, Camera Position: (-103.42, 1.72, -107.19), Camera Rotation: (2.06, 267.76, 355.14), Slider Value: 51, Phase: MoveToInitial, Scenario: 2
