Question,Slider Value,Scenario
1: I felt uncertain about what the drone was going to do (in terms of behaviour).,5,5
2: The drone behaviour was always clear to me.,1,5
3: I was able to understand why things happened.,1,5
4: I felt uncertain about what the drone was doing (in terms of behaviour).,5,5
5: The drone behaved unpredictably.,5,5
6: It’s difficult to identify what the drone will do next.,5,5
7: I felt certain about what the drone was going to do (in terms of behaviour).,1,5
8: I trusted the drone behaviour to be safe.,1,5
9: I felt certain about what the drone was doing (in terms of behaviour).,1,5
10: I relied on the drone to make safe decisions with its behaviour.,4,5
