Question,Slider Value,Scenario
1: I felt uncertain about what the drone was going to do (in terms of behaviour).,1,2
2: The drone behaviour was always clear to me.,5,2
3: I was able to understand why things happened.,5,2
4: I felt uncertain about what the drone was doing (in terms of behaviour).,1,2
5: The drone behaved unpredictably.,1,2
6: It’s difficult to identify what the drone will do next.,1,2
7: I felt certain about what the drone was going to do (in terms of behaviour).,5,2
8: I trusted the drone behaviour to be safe.,4,2
9: I felt certain about what the drone was doing (in terms of behaviour).,5,2
10: I relied on the drone to make safe decisions with its behaviour.,4,2
